pid,condition,trial,average_mt,average_skip_first_mt,gender,age,video_games,mixed_reality,interact_robot,coordination
1,A,2,11.97367,12.1118,Male,25,4,1,1,3
2,A,2,7.594939999999999,7.353733333333333,Female,30,4,3,1,3
3,A,2,7.01443,7.127255555555556,Female,22,4,1,1,5
4,A,2,14.01545,13.154222222222224,Male,25,4,1,1,2
5,A,2,13.609920000000002,14.361055555555556,Female,24,4,2,2,3
6,A,2,25.18739,19.95714444444444,Female,19,5,1,1,2
7,A,2,16.89626,14.997966666666663,Male,30,3,1,1,3
8,A,2,12.97192,13.55421111111111,Male,30,3,2,1,4
9,A,2,23.010510000000004,24.157244444444448,Male,25,1,2,1,7
10,A,2,7.599920000000002,7.271277777777779,Female,24,2,1,1,1
11,A,2,14.25452,15.372466666666664,Female,19,3,2,2,5
12,A,2,12.469820000000002,13.278866666666666,Female,29,3,2,3,2
13,A,2,14.95787,15.76731111111111,Female,23,1,2,2,4
14,A,2,7.41148,7.619977777777779,Male,30,1,1,1,1
15,A,2,17.29121,18.13291111111112,Male,36,6,1,1,3
16,A,2,9.939419999999998,10.564644444444443,Female,33,3,3,1,2
17,A,2,9.43998,9.2315,Male,31,4,6,1,2
18,A,2,13.26891,13.7857,Male,28,3,1,4,3
19,A,2,4.0325500000000005,4.113955555555556,Male,24,5,5,5,3
20,A,2,20.36437,19.73473333333333,Female,26,1,1,1,1
21,A,2,4.61154,4.712988888888889,Male,27,2,5,2,7
22,A,2,3.74677,3.876044444444444,Male,24,5,1,1,3
23,A,2,5.6065200000000015,4.155477777777778,Female,25,3,2,1,7
24,A,2,16.10696,16.80178888888889,Male,36,4,4,1,6
1,B,2,6.948780000000001,6.992455555555556,Male,25,4,1,1,3
2,B,2,10.17704,9.979688888888887,Female,30,4,3,1,3
3,B,2,6.778409999999999,6.898244444444444,Female,22,4,1,1,5
4,B,2,8.58504,9.052844444444442,Male,25,4,1,1,2
5,B,2,10.11201,10.146755555555554,Female,24,4,2,2,3
6,B,2,8.158080000000002,6.763111111111112,Female,19,5,1,1,2
7,B,2,10.15166,10.675433333333334,Male,30,3,1,1,3
8,B,2,7.019449999999999,7.271600000000002,Male,30,3,2,1,4
9,B,2,19.12367,18.593288888888893,Male,25,1,2,1,7
10,B,2,16.46162,17.04897777777778,Female,24,2,1,1,1
11,B,2,16.03686,15.309233333333331,Female,19,3,2,2,5
12,B,2,15.426200000000003,15.955288888888887,Female,29,3,2,3,2
13,B,2,11.073188695652174,10.984804347826085,Female,23,1,2,2,4
14,B,2,15.6848,15.19812222222222,Male,30,1,1,1,1
15,B,2,10.29182,10.8466,Male,36,6,1,1,3
16,B,2,6.444630000000001,6.633355555555557,Female,33,3,3,1,2
17,B,2,8.629760000000001,9.261244444444449,Male,31,4,6,1,2
18,B,2,14.08677,15.007066666666669,Male,28,3,1,4,3
19,B,2,3.56881,3.6237666666666666,Male,24,5,5,5,3
20,B,2,23.0386,17.98057777777778,Female,26,1,1,1,1
21,B,2,4.87279,4.918433333333334,Male,27,2,5,2,7
22,B,2,4.69114,4.784477777777777,Male,24,5,1,1,3
23,B,2,8.9902,9.385733333333333,Female,25,3,2,1,7
24,B,2,19.4052,20.3242,Male,36,4,4,1,6
1,C,2,4.74833,4.723955555555556,Male,25,4,1,1,3
2,C,2,8.2656,8.629322222222221,Female,30,4,3,1,3
3,C,2,19.73695,20.14466666666667,Female,22,4,1,1,5
4,C,2,9.04673,9.467966666666667,Male,25,4,1,1,2
5,C,2,6.27522,6.191288888888889,Female,24,4,2,2,3
6,C,2,19.94519,21.3376,Female,19,5,1,1,2
7,C,2,20.918940000000003,21.891822222222224,Male,30,3,1,1,3
8,C,2,5.73919,5.762422222222222,Male,30,3,2,1,4
9,C,2,9.24729,9.493733333333331,Male,25,1,2,1,7
10,C,2,10.30516,9.9488,Female,24,2,1,1,1
11,C,2,8.941660000000002,8.471966666666667,Female,19,3,2,2,5
12,C,2,9.89831,10.294766666666668,Female,29,3,2,3,2
13,C,2,7.858849999999999,8.357188888888889,Female,23,1,2,2,4
14,C,2,11.681459999999998,12.265966666666666,Male,30,1,1,1,1
15,C,2,12.69388,13.4378,Male,36,6,1,1,3
